Joke,Counter
"Könnt ihr mir sagen, warum euer Hund jedes Mal in die Ecke rennt, wenn es an der Tür klingelt? Weil er ein Boxer ist.",0
Wie nennt man einen schlafenden Kuchen? - Penncake.,0
"Mein letzter Besuch bei dem*der Friseur*in ist auch schon wieder ""long hair""",0
Was heißt Fernsehverbot auf Russisch? – Nied-Flix!,0
Wie heißen demonstrierende Veganer? Gemüse-Auflauf!,0
"Wie heißt ein Seefahrer, der sich nicht wäscht? – Meerschweinchen!",0
Wie heißt eine Oma beim Geheimdienst? – Top-Sigrid!,0
Wie heißt ein dünner Frosch? – Mager-Quak!,0
Wie heißt der bayrische Gott der Ungeduld? – Hammersbald!,0
Wie heißt ein kiffender Wal? – Hai!,0
Wie nennt man den Chef von Amazon? – Prime Minister!,0
Wie heißt das Reh mit Vornamen? - Kartoffelpü.,0
Wie heißt die Frau von Herkules? Fraukules.,0
Wie nennt man ein verschwundenes Rind? ­Oxford.,0
Wie nennt man einen dicken Schriftsteller? Kugelschreiber!,0
Wie nennt man iPhone-Hülle noch? Apfeltasche.,0
"Wie nennt man jemanden, der DinA4-Blätter scannt? Skandinavier.",0
Wie viel ­wiegen ein Pferd und ein Hund zusammen? Ein Pfund.,0
Was ist rot und schlecht für die Zähne? – Ein Backstein!,0
Was ist schwarz und klebt an der Steckdose? – Ein schlechter Elektriker!,0
Was ist der Unterschied zwischen Schule und Lidl? – Lidl lohnt sich!,0
Was ist orange und guckt durchs Schlüsselloch? – Eine Spandarine!,0
Was ist das Gegenteil von Elefant? – Ein Antifant!,0
Was ist das beste Geburtstagsgeschenk? – Eine kaputte Trommel! Unschlagbar!,0
Was ist langsam und hat eine große Zunge? – Eine Schlecke!,0
Was ist rosa und lebt im Meer? – Eine Meerjungsau!,0
Was ist weiß und stört beim Essen? – Eine Lawine!,0
Was ist schwarz-weiß und sitzt auf der Schaukel? – Ein Schwinguin!,0
Was ist gelb und filmt von oben? – Die Zidrone!,0
Was ist die härteste Droge der Welt? – Ein Bahngleis: Ein Zug und du bist tot!,0
Was ist grün und hört sich an wie eine Taube? - Eine Gurrrrke!,0
Was ist rot und sitzt auf dem Klo? – Eine Klomate!,0
"Was ist grün, schlau und stellt viele Fragen? – Günther Lauch!",0
Was findet man beim Kannibalen in der Dusche? – Head & Shoulders,0
Was ist Trumps Lieblingstier? – Das Trumpeltier.,0
Was ist weiß und guckt durchs Schlüsselloch? — Ein Spannbettlaken.,0
Was sitzt im Baum und weint? Eine Heule!,0
Was hängt im Urwald an den Bäumen? Urlaub!,0
Was macht ein Clown im Büro? Faxen.,0
"Was ist rund, braun und riecht unangenehm? Ein Stuhlkreis!",0
Was ist das Lieblings-Essen eines Models? Ein Lauf-Steak!,0
Was ist grün und hockt auf dem Klo? – Ein Kaktus. 🌵,0
Was ist ein Keks unter einem Baum? Ein schattiges Plätzchen.,0
"Was ist braun, kann fliegen und macht Kindern die Zähne kaputt? Die Toffi-Fee!",0
"Was ist grün, glücklich und hüpft übers Gras? Eine Freuschrecke.",0
Warum fliegen Vögel im Winter in Richtung Süden? – weil es schneller geht als laufen.,0
"Was ist ein Spanner, der gestorben ist? Weg vom Fenster.",0
Was sitzt auf einem Baum und winkt? Ein Huhu!,0
Warum kann Elvis nicht einparken? – Weil er tot ist!,0
"Meine Mutter hat mich angebrüllt: ""Du hast mir gerade keine Sekunde zugehört, oder?"" – Was für eine komische Frage, um eine Unterhaltung zu beginnen…",0
Wenn man in der einen Hand zehn Äpfel hat und in der anderen drei Tüten Milch – Was hat man dann? – Große Hände!,0
"Ich habe meinem Arzt gesagt, dass ich süchtig nach Instagram bin. Er meinte nur ""Tut mir leid, ich kann Ihnen nicht folgen!""",0
"Mein Geldbeutel ist wie eine Zwiebel. Immer, wenn ich ihn öffne, muss ich weinen.",0
Wie nennt man eine kleine Mutter? – Eine Minimum.,0
